               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  39,              1.3842,              1.8316,              1.5521,             0.66415,             0.52578,              0.5833,             0.42732,                   0,                   0,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,               1.386,               1.842,              1.5568,             0.66235,              0.5291,              0.5847,             0.42854,                   0,                   0,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,              1.3619,              1.8361,              1.5458,              0.6682,             0.52937,             0.58593,             0.42939,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  42,              1.3665,              1.8206,              1.5415,             0.66402,             0.53203,             0.58645,             0.43053,                   0,                   0,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,              1.3679,              1.8154,              1.5505,             0.66575,             0.53278,             0.58831,             0.43189,                   0,                   0,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,              1.3788,              1.8514,              1.5589,             0.66966,             0.53384,             0.58975,             0.43322,                   0,                   0,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,              1.3684,              1.8424,              1.5564,             0.67243,             0.53511,             0.59079,             0.43455,                   0,                   0,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,              1.3673,              1.8306,              1.5482,             0.67975,             0.53207,             0.59183,             0.43505,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  47,              1.3624,              1.8123,               1.545,             0.67689,             0.53246,             0.59267,             0.43549,                   0,                   0,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,              1.3577,               1.819,              1.5445,             0.67277,             0.53862,               0.594,             0.43676,                   0,                   0,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,              1.3608,              1.8152,              1.5451,              0.6687,             0.54058,             0.59523,              0.4378,                   0,                   0,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,              1.3707,              1.8191,               1.542,             0.66479,             0.54356,             0.59601,             0.43862,                   0,                   0,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,              1.3613,              1.8078,              1.5423,             0.67344,             0.54011,             0.59654,             0.43976,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  52,              1.3672,              1.8101,              1.5414,             0.67096,             0.54216,             0.59784,             0.44048,                   0,                   0,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,              1.3597,              1.8008,               1.537,             0.66751,             0.54499,             0.59865,             0.44141,                   0,                   0,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,              1.3566,              1.7934,              1.5454,             0.66795,             0.54427,             0.59954,             0.44219,                   0,                   0,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,              1.3502,              1.7769,               1.534,             0.67352,             0.54377,             0.60017,              0.4426,                   0,                   0,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,              1.3577,              1.7975,              1.5309,             0.67438,             0.54353,             0.59972,             0.44303,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  57,              1.3444,              1.7868,              1.5359,              0.6808,             0.53972,             0.60118,             0.44385,                   0,                   0,                   0,           0.0088912,           0.0088912,           0.0088912
