               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.3451,               6.327,              4.5111,             0.59155,            0.012323,           0.0092282,           0.0038819,                   0,                   0,                   0,            0.070032,           0.0033297,           0.0033297
                   1,              2.5673,              4.2835,              2.6706,             0.20336,             0.12615,            0.088293,            0.051254,                   0,                   0,                   0,            0.039966,           0.0065971,           0.0065971
                   2,               2.082,              3.4519,              2.1542,             0.28391,              0.2043,             0.16697,              0.1025,                   0,                   0,                   0,           0.0098345,           0.0097985,           0.0097985
                   3,              1.8557,                2.96,               1.936,             0.38765,              0.2979,             0.27863,              0.1805,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              1.7112,              2.6322,              1.8235,             0.48424,             0.33886,             0.34572,             0.23147,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,               1.645,              2.4481,              1.7627,             0.51484,              0.3821,             0.39415,             0.26803,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              1.6019,              2.3263,              1.7207,             0.53553,             0.40754,             0.43001,             0.29508,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              1.5643,              2.2406,              1.6931,             0.56986,             0.42825,             0.45435,             0.31823,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              1.5343,              2.1668,               1.668,             0.57141,             0.44137,             0.47329,             0.33504,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              1.5241,               2.114,              1.6488,             0.59726,             0.46006,             0.49489,             0.35122,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              1.5054,                2.07,              1.6323,              0.5831,             0.47846,             0.50603,             0.36083,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              1.4836,              2.0392,              1.6225,             0.60425,             0.47721,             0.51955,             0.37343,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              1.4699,              2.0104,              1.6125,             0.61471,             0.48958,             0.52837,             0.38076,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,               1.463,              1.9699,              1.6001,             0.61164,             0.50275,             0.53572,             0.38648,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              1.4609,              1.9558,              1.5977,             0.63753,             0.49662,             0.54297,             0.39278,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              1.4464,              1.9373,              1.5894,             0.63863,             0.50209,             0.54838,             0.39712,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              1.4357,              1.8939,              1.5735,              0.6454,             0.50323,             0.55134,              0.3999,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              1.4326,              1.8925,              1.5725,             0.64464,             0.50742,             0.55431,             0.40293,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              1.4268,              1.8808,              1.5693,             0.64185,             0.51123,             0.55703,             0.40489,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              1.4167,              1.8589,              1.5646,             0.63567,             0.52036,             0.56009,             0.40755,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,               1.409,               1.843,              1.5554,             0.64076,             0.52088,             0.56216,             0.40991,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,               1.409,              1.8389,              1.5508,             0.64635,             0.52134,             0.56425,             0.41133,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              1.3981,              1.8183,              1.5481,             0.64652,              0.5227,             0.56673,             0.41278,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              1.3967,              1.8054,              1.5458,             0.64618,             0.52406,             0.56882,              0.4145,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              1.3889,              1.7868,              1.5366,             0.65225,             0.52234,             0.57037,             0.41578,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,              1.3901,              1.7877,              1.5365,             0.66038,             0.52099,             0.57174,             0.41699,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              1.3883,              1.7787,               1.534,             0.66656,             0.51892,             0.57323,              0.4183,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              1.3813,               1.772,              1.5314,             0.66601,             0.52279,             0.57459,             0.41947,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,              1.3786,              1.7627,              1.5276,              0.6686,             0.52204,             0.57564,             0.42045,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,              1.3723,                1.74,              1.5236,             0.66509,             0.52475,              0.5766,             0.42179,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,              1.3762,              1.7476,              1.5232,             0.66824,             0.52322,             0.57722,             0.42254,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  31,              1.3704,              1.7403,              1.5209,             0.67015,             0.52326,             0.57852,             0.42375,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  32,              1.3587,              1.7197,              1.5144,             0.66978,             0.52237,             0.57979,             0.42483,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  33,              1.3608,              1.7197,              1.5155,             0.67309,             0.52361,             0.58087,             0.42526,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  34,              1.3603,              1.6965,              1.5091,             0.67502,             0.52247,             0.58211,             0.42632,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,              1.3573,              1.6992,              1.5072,             0.67568,             0.52404,             0.58368,              0.4275,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  36,               1.354,              1.6938,               1.506,             0.67569,             0.52569,             0.58455,              0.4288,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  37,              1.3491,              1.6901,              1.5044,             0.67401,             0.52766,             0.58618,             0.43012,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  38,              1.3515,              1.6817,              1.5037,             0.67729,             0.52793,             0.58712,             0.43085,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  39,              1.3468,              1.6688,              1.5005,             0.67988,              0.5283,             0.58815,             0.43194,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  40,              1.3429,              1.6688,              1.4956,             0.68068,             0.52973,             0.58933,             0.43288,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              1.3376,              1.6612,              1.4963,             0.67896,             0.53171,             0.59067,             0.43374,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              1.3435,              1.6646,              1.4982,             0.67915,             0.53224,             0.59155,             0.43481,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              1.3348,              1.6406,              1.4886,             0.68131,             0.53369,             0.59281,             0.43581,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              1.3329,              1.6436,              1.4902,             0.68433,             0.53328,             0.59345,             0.43697,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              1.3259,              1.6303,              1.4863,             0.68498,             0.53402,             0.59453,             0.43822,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              1.3287,              1.6297,              1.4872,             0.68663,             0.53403,             0.59575,             0.43923,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              1.3263,              1.6179,              1.4818,               0.686,             0.53615,             0.59715,             0.44088,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              1.3219,              1.6137,              1.4806,             0.68784,             0.53568,             0.59879,             0.44202,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              1.3209,              1.6106,              1.4777,              0.6876,             0.53717,             0.59956,             0.44329,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              1.3154,              1.6055,               1.476,             0.68785,             0.53877,             0.60177,             0.44494,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              1.3112,              1.5935,              1.4716,             0.69086,             0.53976,             0.60298,             0.44594,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              1.3138,              1.5821,              1.4694,             0.69355,             0.53988,             0.60464,             0.44707,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              1.3079,              1.5903,              1.4725,             0.69423,             0.54173,             0.60578,             0.44833,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              1.3071,              1.5791,              1.4677,             0.69106,             0.54451,             0.60711,             0.44979,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              1.3008,              1.5702,              1.4664,             0.69368,             0.54529,             0.60855,             0.45088,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              1.3019,              1.5669,              1.4654,             0.69291,             0.54676,             0.60956,             0.45238,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              1.2951,              1.5622,              1.4593,             0.69393,              0.5485,             0.61096,              0.4534,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,               1.299,              1.5504,              1.4631,             0.69358,             0.55037,             0.61227,             0.45483,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,              1.2936,              1.5571,              1.4622,             0.69472,             0.55171,             0.61352,             0.45564,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              1.2888,              1.5332,              1.4563,             0.69748,             0.55215,             0.61491,             0.45687,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              1.2957,              1.5464,              1.4624,             0.69895,             0.55268,             0.61645,             0.45823,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              1.2885,              1.5299,              1.4548,             0.70093,             0.55326,             0.61774,             0.45958,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              1.2889,               1.526,              1.4531,             0.69761,             0.55574,             0.61921,             0.46075,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,              1.2841,              1.5143,              1.4482,             0.69864,             0.55563,             0.62023,             0.46202,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,              1.2764,                1.51,              1.4492,             0.70071,             0.55663,             0.62148,             0.46354,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,               1.281,              1.5133,              1.4488,             0.70016,             0.55713,             0.62219,             0.46459,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,              1.2657,              1.4965,              1.4461,             0.69945,             0.55958,             0.62349,             0.46552,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,              1.2641,              1.4874,              1.4399,             0.69485,             0.56347,              0.6249,             0.46644,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,              1.2593,              1.4795,              1.4401,             0.69494,              0.5652,             0.62587,             0.46735,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,              1.2597,              1.4769,              1.4368,             0.69892,             0.56588,             0.62653,             0.46835,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,              1.2648,              1.4724,              1.4369,             0.70031,             0.56643,             0.62797,             0.46968,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,              1.2534,              1.4649,              1.4352,             0.69832,             0.56781,             0.62977,             0.47103,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,              1.2521,              1.4536,              1.4318,             0.69908,             0.56851,             0.63106,             0.47206,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  74,              1.2549,                1.45,              1.4341,             0.69838,             0.57063,             0.63179,             0.47311,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,              1.2506,              1.4432,              1.4255,             0.70054,             0.56993,              0.6333,             0.47421,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              1.2444,              1.4392,              1.4265,             0.70177,             0.57036,             0.63457,             0.47513,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,              1.2383,              1.4243,              1.4217,              0.7028,             0.57071,             0.63526,             0.47614,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,              1.2373,               1.422,               1.422,             0.70192,             0.57292,             0.63634,             0.47726,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,              1.2354,              1.4159,              1.4228,             0.70295,             0.57381,             0.63757,             0.47821,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,              1.2379,              1.4103,              1.4185,             0.70341,             0.57475,             0.63797,             0.47887,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,              1.2216,              1.3887,              1.4139,             0.70487,             0.57589,             0.63907,             0.47985,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,              1.2286,                 1.4,              1.4147,             0.70515,             0.57703,             0.64024,             0.48092,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,              1.2234,              1.3847,              1.4106,             0.70761,             0.57622,             0.64198,             0.48212,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,              1.2224,              1.3741,              1.4078,             0.70724,             0.57779,             0.64231,             0.48254,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,              1.2379,              1.2894,              1.4741,             0.71199,             0.57855,             0.64445,             0.48423,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  86,              1.2248,              1.2653,              1.4701,             0.71365,             0.57926,             0.64633,             0.48566,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  87,              1.2128,              1.2356,              1.4618,             0.71359,             0.58125,             0.64758,             0.48701,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  88,              1.2075,              1.2316,              1.4561,              0.7152,             0.58187,             0.64895,              0.4882,                   0,                   0,                   0,            0.001387,            0.001387,            0.001387
                  89,              1.2029,              1.2157,              1.4533,             0.71218,             0.58634,              0.6503,             0.48956,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  90,              1.2001,              1.2017,              1.4501,             0.71293,             0.58713,             0.65176,             0.49078,                   0,                   0,                   0,            0.001189,            0.001189,            0.001189
                  91,              1.1931,               1.171,              1.4428,             0.71155,             0.58939,             0.65337,             0.49237,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  92,              1.1844,              1.1625,              1.4341,             0.70891,             0.59402,             0.65447,             0.49316,                   0,                   0,                   0,            0.000991,            0.000991,            0.000991
                  93,              1.1715,               1.141,              1.4302,             0.71139,             0.59559,             0.65595,             0.49461,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  94,              1.1716,              1.1299,              1.4287,             0.71294,             0.59701,             0.65719,             0.49573,                   0,                   0,                   0,            0.000793,            0.000793,            0.000793
                  95,              1.1654,              1.1062,              1.4214,             0.71351,             0.59672,             0.65814,             0.49644,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  96,              1.1538,              1.0964,              1.4159,              0.7128,             0.59819,             0.65926,             0.49759,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                  97,              1.1428,              1.0706,              1.4095,             0.71543,             0.59748,             0.66044,             0.49844,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
                  98,              1.1378,              1.0584,              1.4036,             0.71519,             0.59908,             0.66141,             0.49922,                   0,                   0,                   0,            0.000397,            0.000397,            0.000397
                  99,              1.1365,              1.0482,              1.3967,             0.71585,             0.60008,             0.66228,             0.50015,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
                  99,              1.1365,              1.0482,              1.3967,               0.716,             0.60019,             0.66603,             0.50004,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
