               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              1.3482,               1.685,               1.504,              0.6633,             0.53051,             0.58774,             0.43262,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              1.3344,              1.6728,              1.4959,             0.66481,             0.52962,             0.58938,             0.43391,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              1.3358,               1.654,              1.4897,             0.66531,             0.53153,             0.59062,             0.43489,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              1.3337,              1.6629,              1.4942,              0.6682,             0.53181,              0.5919,             0.43598,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              1.3382,              1.6609,              1.4963,             0.66855,             0.53356,             0.59312,             0.43708,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              1.3289,              1.6535,              1.4887,             0.67072,             0.53353,             0.59441,             0.43823,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,               1.323,              1.6325,               1.482,             0.67426,             0.53488,             0.59558,             0.43924,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              1.3209,              1.6207,              1.4788,             0.67681,             0.53417,             0.59669,             0.44027,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              1.3255,              1.6364,              1.4867,             0.67886,             0.53543,             0.59848,             0.44151,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              1.3202,              1.6328,               1.484,             0.67513,             0.54072,             0.59988,             0.44308,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              1.3211,              1.6165,               1.481,               0.677,              0.5397,             0.60148,             0.44422,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              1.3066,              1.6012,              1.4748,             0.67664,             0.54182,             0.60286,             0.44554,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              1.3051,              1.5984,              1.4725,             0.67565,             0.54372,             0.60404,             0.44686,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              1.3121,              1.5977,              1.4775,             0.67825,              0.5453,             0.60552,             0.44795,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              1.3091,              1.5925,              1.4739,             0.67523,             0.55048,             0.60679,             0.44939,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              1.3076,              1.5929,               1.477,             0.67478,             0.55251,             0.60823,             0.45068,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              1.2963,              1.5661,               1.465,             0.67622,             0.55353,             0.60969,             0.45194,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,               1.294,              1.5632,              1.4654,             0.67718,             0.55435,             0.61119,             0.45339,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,              1.2967,              1.5601,               1.468,              0.6771,             0.55654,             0.61189,             0.45447,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,              1.2948,              1.5652,              1.4691,             0.67935,             0.55699,             0.61315,             0.45543,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              1.2907,              1.5568,              1.4646,             0.68112,             0.55674,             0.61463,             0.45657,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,               1.302,              1.5537,              1.4671,             0.68086,             0.55764,             0.61651,             0.45821,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              1.2806,              1.5381,              1.4597,             0.68217,             0.55811,             0.61797,             0.45961,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              1.2852,              1.5361,              1.4535,             0.68521,             0.56018,              0.6195,              0.4611,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,              1.2789,               1.523,              1.4542,             0.68556,             0.56179,             0.62017,             0.46194,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,               1.279,              1.5237,              1.4526,             0.68996,             0.56228,             0.62158,             0.46337,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,              1.2649,              1.5084,              1.4466,             0.69291,             0.56148,             0.62336,             0.46448,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,              1.2749,               1.516,              1.4472,             0.70045,             0.55779,             0.62468,             0.46587,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,              1.2724,               1.506,              1.4498,             0.70294,             0.55746,             0.62574,              0.4671,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,              1.2713,              1.4967,              1.4478,             0.70315,             0.56021,             0.62751,              0.4683,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,              1.2648,              1.4875,              1.4445,             0.70084,             0.56325,             0.62836,             0.46943,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
