                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     25,                 1.4036,                 0.9611,                 1.8462,                 1.5549,                0.64055,                0.52668,                0.56882,                0.41024,                0.62842,                0.51554,                0.54885,                0.34946,                      0,                      0,                      0,                      0,               0.008812,               0.008812,               0.008812
                     26,                 1.3945,                0.95428,                 1.8342,                 1.5465,                 0.6449,                0.52608,                0.57038,                0.41155,                0.63728,                0.51403,                0.55049,                0.35062,                      0,                      0,                      0,                      0,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.3967,                0.96144,                 1.8255,                 1.5434,                0.64953,                0.52696,                 0.5716,                0.41254,                0.63883,                 0.5152,                0.55164,                0.35155,                      0,                      0,                      0,                      0,               0.008713,               0.008713,               0.008713
                     28,                 1.3998,                0.95855,                 1.8275,                 1.5458,                0.65329,                0.52648,                0.57288,                0.41392,                0.64332,                0.51494,                0.55234,                 0.3521,                      0,                      0,                      0,                      0,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.3936,                0.96021,                 1.8157,                 1.5426,                 0.6567,                0.52573,                0.57449,                0.41537,                0.64985,                0.51269,                0.55359,                0.35347,                      0,                      0,                      0,                      0,               0.008614,               0.008614,               0.008614
                     30,                 1.3909,                0.95518,                 1.8175,                 1.5414,                0.65931,                0.52397,                0.57495,                0.41628,                0.65107,                0.51186,                0.55435,                0.35424,                      0,                      0,                      0,                      0,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.3889,                0.95261,                 1.8067,                 1.5427,                0.66069,                0.52416,                0.57586,                0.41741,                0.65511,                 0.5118,                 0.5551,                0.35467,                      0,                      0,                      0,                      0,               0.008515,               0.008515,               0.008515
                     32,                 1.3807,                0.94769,                 1.7929,                 1.5314,                 0.6655,                0.52216,                0.57615,                0.41804,                0.65924,                0.51064,                0.55622,                0.35516,                      0,                      0,                      0,                      0,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.3831,                0.94692,                 1.7913,                 1.5344,                0.66809,                0.52225,                0.57717,                0.41904,                0.66187,                0.51059,                0.55745,                0.35625,                      0,                      0,                      0,                      0,               0.008416,               0.008416,               0.008416
                     34,                 1.3795,                0.94503,                 1.7718,                 1.5294,                0.66919,                0.52271,                0.57817,                0.42003,                0.66335,                0.51162,                0.55867,                0.35705,                      0,                      0,                      0,                      0,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.3682,                0.94166,                 1.7717,                 1.5273,                0.66959,                0.52563,                0.57947,                0.42104,                0.66436,                0.51359,                0.56029,                0.35789,                      0,                      0,                      0,                      0,               0.008317,               0.008317,               0.008317
                     36,                 1.3745,                0.94678,                 1.7746,                 1.5239,                0.67458,                0.52522,                0.58094,                0.42268,                0.67025,                0.51356,                0.56181,                0.35871,                      0,                      0,                      0,                      0,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.3781,                0.94272,                 1.7563,                 1.5231,                0.67546,                0.52578,                0.58227,                0.42387,                0.67282,                0.51156,                0.56229,                0.35977,                      0,                      0,                      0,                      0,               0.008218,               0.008218,               0.008218
                     38,                 1.3681,                0.94085,                 1.7577,                  1.523,                0.67889,                0.52448,                0.58383,                0.42538,                 0.6765,                0.51105,                0.56347,                0.36093,                      0,                      0,                      0,                      0,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.3727,                0.93788,                 1.7596,                  1.522,                0.68001,                0.52504,                 0.5854,                0.42644,                0.67604,                 0.5117,                0.56426,                0.36169,                      0,                      0,                      0,                      0,               0.008119,               0.008119,               0.008119
                     40,                 1.3651,                0.93699,                  1.752,                 1.5162,                0.68176,                0.52424,                0.58676,                0.42747,                0.67784,                0.51064,                0.56559,                0.36241,                      0,                      0,                      0,                      0,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.3656,                 0.9343,                 1.7521,                 1.5176,                0.68515,                0.52392,                0.58793,                0.42855,                0.67935,                0.51081,                 0.5669,                0.36318,                      0,                      0,                      0,                      0,                0.00802,                0.00802,                0.00802
                     42,                 1.3604,                0.93528,                 1.7408,                 1.5123,                0.67882,                0.52833,                0.58929,                0.42953,                0.68284,                  0.511,                0.56842,                0.36439,                      0,                      0,                      0,                      0,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.3597,                0.93482,                 1.7418,                 1.5161,                0.67715,                0.52983,                0.59009,                0.43076,                0.67796,                0.51429,                0.56909,                0.36521,                      0,                      0,                      0,                      0,               0.007921,               0.007921,               0.007921
                     44,                  1.363,                0.93325,                 1.7358,                 1.5137,                0.67773,                   0.53,                0.59137,                 0.4316,                0.67537,                0.51581,                0.57016,                0.36613,                      0,                      0,                      0,                      0,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.3575,                0.92933,                 1.7249,                 1.5093,                0.68151,                0.52945,                0.59244,                 0.4326,                 0.6792,                0.51494,                0.57134,                 0.3666,                      0,                      0,                      0,                      0,               0.007822,               0.007822,               0.007822
                     46,                 1.3579,                0.92904,                 1.7264,                 1.5058,                0.68541,                0.52888,                0.59358,                0.43339,                0.67889,                0.51658,                0.57286,                0.36755,                      0,                      0,                      0,                      0,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.3576,                0.92761,                  1.731,                 1.5095,                0.68137,                0.53232,                0.59494,                0.43452,                 0.6756,                 0.5192,                0.57436,                0.36882,                      0,                      0,                      0,                      0,               0.007723,               0.007723,               0.007723
